typname,oid,typlen
pg_settings,12323,-1
_pg_settings,12322,-1
pg_file_settings,12329,-1
_pg_file_settings,12328,-1
pg_hba_file_rules,12333,-1
_pg_hba_file_rules,12332,-1
pg_timezone_abbrevs,12337,-1
_pg_timezone_abbrevs,12336,-1
pg_timezone_names,12341,-1
_pg_timezone_names,12340,-1
pg_config,12345,-1
_pg_config,12344,-1
pg_shmem_allocations,12349,-1
_pg_shmem_allocations,12348,-1
pg_backend_memory_contexts,12353,-1
_pg_backend_memory_contexts,12352,-1
pg_stat_all_tables,12357,-1
_pg_stat_all_tables,12356,-1
pg_stat_xact_all_tables,12362,-1
_pg_stat_xact_all_tables,12361,-1
pg_stat_sys_tables,12367,-1
_pg_stat_sys_tables,12366,-1
pg_stat_xact_sys_tables,12372,-1
_pg_stat_xact_sys_tables,12371,-1
pg_stat_user_tables,12376,-1
_pg_stat_user_tables,12375,-1
pg_stat_xact_user_tables,12381,-1
_pg_stat_xact_user_tables,12380,-1
pg_statio_all_tables,12385,-1
_pg_statio_all_tables,12384,-1
pg_statio_sys_tables,12390,-1
_pg_statio_sys_tables,12389,-1
pg_statio_user_tables,12394,-1
_pg_statio_user_tables,12393,-1
pg_stat_all_indexes,12398,-1
_pg_stat_all_indexes,12397,-1
pg_stat_sys_indexes,12403,-1
_pg_stat_sys_indexes,12402,-1
pg_stat_user_indexes,12407,-1
_pg_stat_user_indexes,12406,-1
pg_statio_all_indexes,12411,-1
_pg_statio_all_indexes,12410,-1
pg_statio_sys_indexes,12416,-1
_pg_statio_sys_indexes,12415,-1
pg_statio_user_indexes,12420,-1
_pg_statio_user_indexes,12419,-1
pg_statio_all_sequences,12424,-1
_pg_statio_all_sequences,12423,-1
pg_statio_sys_sequences,12429,-1
_pg_statio_sys_sequences,12428,-1
pg_statio_user_sequences,12433,-1
_pg_statio_user_sequences,12432,-1
pg_stat_activity,12437,-1
_pg_stat_activity,12436,-1
pg_stat_replication,12442,-1
_pg_stat_replication,12441,-1
pg_stat_slru,12447,-1
_pg_stat_slru,12446,-1
pg_stat_wal_receiver,12451,-1
_pg_stat_wal_receiver,12450,-1
